infinitif,temps,personne,forme,exemple_fr,niveau
etre,present,je,suis,je suis ce verbe (etre) au present.,A1
etre,present,tu,es,tu es ce verbe (etre) au present.,A1
etre,present,il/elle,est,il/elle est ce verbe (etre) au present.,A1
etre,present,nous,sommes,nous sommes ce verbe (etre) au present.,A1
etre,present,vous,etes,vous etes ce verbe (etre) au present.,A1
etre,present,ils/elles,sont,ils/elles sont ce verbe (etre) au present.,A1
etre,imparfait,je,etais,je etais ce verbe (etre) au imparfait.,A2
etre,imparfait,tu,etais,tu etais ce verbe (etre) au imparfait.,A2
etre,imparfait,il/elle,etait,il/elle etait ce verbe (etre) au imparfait.,A2
etre,imparfait,nous,etions,nous etions ce verbe (etre) au imparfait.,A2
etre,imparfait,vous,etiez,vous etiez ce verbe (etre) au imparfait.,A2
etre,imparfait,ils/elles,etaient,ils/elles etaient ce verbe (etre) au imparfait.,A2
etre,futur simple,je,serai,je serai ce verbe (etre) au futur simple.,A2
etre,futur simple,tu,seras,tu seras ce verbe (etre) au futur simple.,A2
etre,futur simple,il/elle,sera,il/elle sera ce verbe (etre) au futur simple.,A2
etre,futur simple,nous,serons,nous serons ce verbe (etre) au futur simple.,A2
etre,futur simple,vous,serez,vous serez ce verbe (etre) au futur simple.,A2
etre,futur simple,ils/elles,seront,ils/elles seront ce verbe (etre) au futur simple.,A2
etre,conditionnel present,je,serais,je serais ce verbe (etre) au conditionnel present.,B1
etre,conditionnel present,tu,serais,tu serais ce verbe (etre) au conditionnel present.,B1
etre,conditionnel present,il/elle,serait,il/elle serait ce verbe (etre) au conditionnel present.,B1
etre,conditionnel present,nous,serions,nous serions ce verbe (etre) au conditionnel present.,B1
etre,conditionnel present,vous,seriez,vous seriez ce verbe (etre) au conditionnel present.,B1
etre,conditionnel present,ils/elles,seraient,ils/elles seraient ce verbe (etre) au conditionnel present.,B1
avoir,present,je,ai,je ai ce verbe (avoir) au present.,A1
avoir,present,tu,as,tu as ce verbe (avoir) au present.,A1
avoir,present,il/elle,a,il/elle a ce verbe (avoir) au present.,A1
avoir,present,nous,avons,nous avons ce verbe (avoir) au present.,A1
avoir,present,vous,avez,vous avez ce verbe (avoir) au present.,A1
avoir,present,ils/elles,ont,ils/elles ont ce verbe (avoir) au present.,A1
avoir,imparfait,je,avais,je avais ce verbe (avoir) au imparfait.,A2
avoir,imparfait,tu,avais,tu avais ce verbe (avoir) au imparfait.,A2
avoir,imparfait,il/elle,avait,il/elle avait ce verbe (avoir) au imparfait.,A2
avoir,imparfait,nous,avions,nous avions ce verbe (avoir) au imparfait.,A2
avoir,imparfait,vous,aviez,vous aviez ce verbe (avoir) au imparfait.,A2
avoir,imparfait,ils/elles,avaient,ils/elles avaient ce verbe (avoir) au imparfait.,A2
avoir,futur simple,je,aurai,je aurai ce verbe (avoir) au futur simple.,A2
avoir,futur simple,tu,auras,tu auras ce verbe (avoir) au futur simple.,A2
avoir,futur simple,il/elle,aura,il/elle aura ce verbe (avoir) au futur simple.,A2
avoir,futur simple,nous,aurons,nous aurons ce verbe (avoir) au futur simple.,A2
avoir,futur simple,vous,aurez,vous aurez ce verbe (avoir) au futur simple.,A2
avoir,futur simple,ils/elles,auront,ils/elles auront ce verbe (avoir) au futur simple.,A2
avoir,conditionnel present,je,aurais,je aurais ce verbe (avoir) au conditionnel present.,B1
avoir,conditionnel present,tu,aurais,tu aurais ce verbe (avoir) au conditionnel present.,B1
avoir,conditionnel present,il/elle,aurait,il/elle aurait ce verbe (avoir) au conditionnel present.,B1
avoir,conditionnel present,nous,aurions,nous aurions ce verbe (avoir) au conditionnel present.,B1
avoir,conditionnel present,vous,auriez,vous auriez ce verbe (avoir) au conditionnel present.,B1
avoir,conditionnel present,ils/elles,auraient,ils/elles auraient ce verbe (avoir) au conditionnel present.,B1
aller,present,je,vais,je vais ce verbe (aller) au present.,A1
aller,present,tu,vas,tu vas ce verbe (aller) au present.,A1
aller,present,il/elle,va,il/elle va ce verbe (aller) au present.,A1
aller,present,nous,allons,nous allons ce verbe (aller) au present.,A1
aller,present,vous,allez,vous allez ce verbe (aller) au present.,A1
aller,present,ils/elles,vont,ils/elles vont ce verbe (aller) au present.,A1
aller,imparfait,je,allais,je allais ce verbe (aller) au imparfait.,A2
aller,imparfait,tu,allais,tu allais ce verbe (aller) au imparfait.,A2
aller,imparfait,il/elle,allait,il/elle allait ce verbe (aller) au imparfait.,A2
aller,imparfait,nous,allions,nous allions ce verbe (aller) au imparfait.,A2
aller,imparfait,vous,alliez,vous alliez ce verbe (aller) au imparfait.,A2
aller,imparfait,ils/elles,allaient,ils/elles allaient ce verbe (aller) au imparfait.,A2
aller,futur simple,je,irai,je irai ce verbe (aller) au futur simple.,A2
aller,futur simple,tu,iras,tu iras ce verbe (aller) au futur simple.,A2
aller,futur simple,il/elle,ira,il/elle ira ce verbe (aller) au futur simple.,A2
aller,futur simple,nous,irons,nous irons ce verbe (aller) au futur simple.,A2
aller,futur simple,vous,irez,vous irez ce verbe (aller) au futur simple.,A2
aller,futur simple,ils/elles,iront,ils/elles iront ce verbe (aller) au futur simple.,A2
aller,conditionnel present,je,irais,je irais ce verbe (aller) au conditionnel present.,B1
aller,conditionnel present,tu,irais,tu irais ce verbe (aller) au conditionnel present.,B1
aller,conditionnel present,il/elle,irait,il/elle irait ce verbe (aller) au conditionnel present.,B1
aller,conditionnel present,nous,irions,nous irions ce verbe (aller) au conditionnel present.,B1
aller,conditionnel present,vous,iriez,vous iriez ce verbe (aller) au conditionnel present.,B1
aller,conditionnel present,ils/elles,iraient,ils/elles iraient ce verbe (aller) au conditionnel present.,B1
faire,present,je,fais,je fais ce verbe (faire) au present.,A1
faire,present,tu,fais,tu fais ce verbe (faire) au present.,A1
faire,present,il/elle,fait,il/elle fait ce verbe (faire) au present.,A1
faire,present,nous,faisons,nous faisons ce verbe (faire) au present.,A1
faire,present,vous,faites,vous faites ce verbe (faire) au present.,A1
faire,present,ils/elles,font,ils/elles font ce verbe (faire) au present.,A1
faire,imparfait,je,faisais,je faisais ce verbe (faire) au imparfait.,A2
faire,imparfait,tu,faisais,tu faisais ce verbe (faire) au imparfait.,A2
faire,imparfait,il/elle,faisait,il/elle faisait ce verbe (faire) au imparfait.,A2
faire,imparfait,nous,faisions,nous faisions ce verbe (faire) au imparfait.,A2
faire,imparfait,vous,faisiez,vous faisiez ce verbe (faire) au imparfait.,A2
faire,imparfait,ils/elles,faisaient,ils/elles faisaient ce verbe (faire) au imparfait.,A2
faire,futur simple,je,ferai,je ferai ce verbe (faire) au futur simple.,A2
faire,futur simple,tu,feras,tu feras ce verbe (faire) au futur simple.,A2
faire,futur simple,il/elle,fera,il/elle fera ce verbe (faire) au futur simple.,A2
faire,futur simple,nous,ferons,nous ferons ce verbe (faire) au futur simple.,A2
faire,futur simple,vous,ferez,vous ferez ce verbe (faire) au futur simple.,A2
faire,futur simple,ils/elles,feront,ils/elles feront ce verbe (faire) au futur simple.,A2
faire,conditionnel present,je,ferais,je ferais ce verbe (faire) au conditionnel present.,B1
faire,conditionnel present,tu,ferais,tu ferais ce verbe (faire) au conditionnel present.,B1
faire,conditionnel present,il/elle,ferait,il/elle ferait ce verbe (faire) au conditionnel present.,B1
faire,conditionnel present,nous,ferions,nous ferions ce verbe (faire) au conditionnel present.,B1
faire,conditionnel present,vous,feriez,vous feriez ce verbe (faire) au conditionnel present.,B1
faire,conditionnel present,ils/elles,feraient,ils/elles feraient ce verbe (faire) au conditionnel present.,B1
prendre,present,je,prends,je prends ce verbe (prendre) au present.,A2
prendre,present,tu,prends,tu prends ce verbe (prendre) au present.,A2
prendre,present,il/elle,prend,il/elle prend ce verbe (prendre) au present.,A2
prendre,present,nous,prenons,nous prenons ce verbe (prendre) au present.,A2
prendre,present,vous,prenez,vous prenez ce verbe (prendre) au present.,A2
prendre,present,ils/elles,prennent,ils/elles prennent ce verbe (prendre) au present.,A2
prendre,imparfait,je,prenais,je prenais ce verbe (prendre) au imparfait.,A2
prendre,imparfait,tu,prenais,tu prenais ce verbe (prendre) au imparfait.,A2
prendre,imparfait,il/elle,prenait,il/elle prenait ce verbe (prendre) au imparfait.,A2
prendre,imparfait,nous,prenions,nous prenions ce verbe (prendre) au imparfait.,A2
prendre,imparfait,vous,preniez,vous preniez ce verbe (prendre) au imparfait.,A2
prendre,imparfait,ils/elles,prenaient,ils/elles prenaient ce verbe (prendre) au imparfait.,A2
prendre,futur simple,je,prendrai,je prendrai ce verbe (prendre) au futur simple.,B1
prendre,futur simple,tu,prendras,tu prendras ce verbe (prendre) au futur simple.,B1
prendre,futur simple,il/elle,prendra,il/elle prendra ce verbe (prendre) au futur simple.,B1
prendre,futur simple,nous,prendrons,nous prendrons ce verbe (prendre) au futur simple.,B1
prendre,futur simple,vous,prendrez,vous prendrez ce verbe (prendre) au futur simple.,B1
prendre,futur simple,ils/elles,prendront,ils/elles prendront ce verbe (prendre) au futur simple.,B1
prendre,conditionnel present,je,prendrais,je prendrais ce verbe (prendre) au conditionnel present.,B1
prendre,conditionnel present,tu,prendrais,tu prendrais ce verbe (prendre) au conditionnel present.,B1
prendre,conditionnel present,il/elle,prendrait,il/elle prendrait ce verbe (prendre) au conditionnel present.,B1
prendre,conditionnel present,nous,prendrions,nous prendrions ce verbe (prendre) au conditionnel present.,B1
prendre,conditionnel present,vous,prendriez,vous prendriez ce verbe (prendre) au conditionnel present.,B1
prendre,conditionnel present,ils/elles,prendraient,ils/elles prendraient ce verbe (prendre) au conditionnel present.,B1
venir,present,je,viens,je viens ce verbe (venir) au present.,A2
venir,present,tu,viens,tu viens ce verbe (venir) au present.,A2
venir,present,il/elle,vient,il/elle vient ce verbe (venir) au present.,A2
venir,present,nous,venons,nous venons ce verbe (venir) au present.,A2
venir,present,vous,venez,vous venez ce verbe (venir) au present.,A2
venir,present,ils/elles,viennent,ils/elles viennent ce verbe (venir) au present.,A2
venir,imparfait,je,venais,je venais ce verbe (venir) au imparfait.,A2
venir,imparfait,tu,venais,tu venais ce verbe (venir) au imparfait.,A2
venir,imparfait,il/elle,venait,il/elle venait ce verbe (venir) au imparfait.,A2
venir,imparfait,nous,venions,nous venions ce verbe (venir) au imparfait.,A2
venir,imparfait,vous,veniez,vous veniez ce verbe (venir) au imparfait.,A2
venir,imparfait,ils/elles,venaient,ils/elles venaient ce verbe (venir) au imparfait.,A2
venir,futur simple,je,viendrai,je viendrai ce verbe (venir) au futur simple.,B1
venir,futur simple,tu,viendras,tu viendras ce verbe (venir) au futur simple.,B1
venir,futur simple,il/elle,viendra,il/elle viendra ce verbe (venir) au futur simple.,B1
venir,futur simple,nous,viendrons,nous viendrons ce verbe (venir) au futur simple.,B1
venir,futur simple,vous,viendrez,vous viendrez ce verbe (venir) au futur simple.,B1
venir,futur simple,ils/elles,viendront,ils/elles viendront ce verbe (venir) au futur simple.,B1
venir,conditionnel present,je,viendrais,je viendrais ce verbe (venir) au conditionnel present.,B1
venir,conditionnel present,tu,viendrais,tu viendrais ce verbe (venir) au conditionnel present.,B1
venir,conditionnel present,il/elle,viendrait,il/elle viendrait ce verbe (venir) au conditionnel present.,B1
venir,conditionnel present,nous,viendrions,nous viendrions ce verbe (venir) au conditionnel present.,B1
venir,conditionnel present,vous,viendriez,vous viendriez ce verbe (venir) au conditionnel present.,B1
venir,conditionnel present,ils/elles,viendraient,ils/elles viendraient ce verbe (venir) au conditionnel present.,B1
pouvoir,present,je,peux,je peux ce verbe (pouvoir) au present.,A2
pouvoir,present,tu,peux,tu peux ce verbe (pouvoir) au present.,A2
pouvoir,present,il/elle,peut,il/elle peut ce verbe (pouvoir) au present.,A2
pouvoir,present,nous,pouvons,nous pouvons ce verbe (pouvoir) au present.,A2
pouvoir,present,vous,pouvez,vous pouvez ce verbe (pouvoir) au present.,A2
pouvoir,present,ils/elles,peuvent,ils/elles peuvent ce verbe (pouvoir) au present.,A2
pouvoir,imparfait,je,pouvais,je pouvais ce verbe (pouvoir) au imparfait.,B1
pouvoir,imparfait,tu,pouvais,tu pouvais ce verbe (pouvoir) au imparfait.,B1
pouvoir,imparfait,il/elle,pouvait,il/elle pouvait ce verbe (pouvoir) au imparfait.,B1
pouvoir,imparfait,nous,pouvions,nous pouvions ce verbe (pouvoir) au imparfait.,B1
pouvoir,imparfait,vous,pouviez,vous pouviez ce verbe (pouvoir) au imparfait.,B1
pouvoir,imparfait,ils/elles,pouvaient,ils/elles pouvaient ce verbe (pouvoir) au imparfait.,B1
pouvoir,futur simple,je,pourrai,je pourrai ce verbe (pouvoir) au futur simple.,B1
pouvoir,futur simple,tu,pourras,tu pourras ce verbe (pouvoir) au futur simple.,B1
pouvoir,futur simple,il/elle,pourra,il/elle pourra ce verbe (pouvoir) au futur simple.,B1
pouvoir,futur simple,nous,pourrons,nous pourrons ce verbe (pouvoir) au futur simple.,B1
pouvoir,futur simple,vous,pourrez,vous pourrez ce verbe (pouvoir) au futur simple.,B1
pouvoir,futur simple,ils/elles,pourront,ils/elles pourront ce verbe (pouvoir) au futur simple.,B1
pouvoir,conditionnel present,je,pourrais,je pourrais ce verbe (pouvoir) au conditionnel present.,B1
pouvoir,conditionnel present,tu,pourrais,tu pourrais ce verbe (pouvoir) au conditionnel present.,B1
pouvoir,conditionnel present,il/elle,pourrait,il/elle pourrait ce verbe (pouvoir) au conditionnel present.,B1
pouvoir,conditionnel present,nous,pourrions,nous pourrions ce verbe (pouvoir) au conditionnel present.,B1
pouvoir,conditionnel present,vous,pourriez,vous pourriez ce verbe (pouvoir) au conditionnel present.,B1
pouvoir,conditionnel present,ils/elles,pourraient,ils/elles pourraient ce verbe (pouvoir) au conditionnel present.,B1
devoir,present,je,dois,je dois ce verbe (devoir) au present.,A2
devoir,present,tu,dois,tu dois ce verbe (devoir) au present.,A2
devoir,present,il/elle,doit,il/elle doit ce verbe (devoir) au present.,A2
devoir,present,nous,devons,nous devons ce verbe (devoir) au present.,A2
devoir,present,vous,devez,vous devez ce verbe (devoir) au present.,A2
devoir,present,ils/elles,doivent,ils/elles doivent ce verbe (devoir) au present.,A2
devoir,imparfait,je,devais,je devais ce verbe (devoir) au imparfait.,B1
devoir,imparfait,tu,devais,tu devais ce verbe (devoir) au imparfait.,B1
devoir,imparfait,il/elle,devait,il/elle devait ce verbe (devoir) au imparfait.,B1
devoir,imparfait,nous,devions,nous devions ce verbe (devoir) au imparfait.,B1
devoir,imparfait,vous,deviez,vous deviez ce verbe (devoir) au imparfait.,B1
devoir,imparfait,ils/elles,devaient,ils/elles devaient ce verbe (devoir) au imparfait.,B1
devoir,futur simple,je,devrai,je devrai ce verbe (devoir) au futur simple.,B1
devoir,futur simple,tu,devras,tu devras ce verbe (devoir) au futur simple.,B1
devoir,futur simple,il/elle,devra,il/elle devra ce verbe (devoir) au futur simple.,B1
devoir,futur simple,nous,devrons,nous devrons ce verbe (devoir) au futur simple.,B1
devoir,futur simple,vous,devrez,vous devrez ce verbe (devoir) au futur simple.,B1
devoir,futur simple,ils/elles,devront,ils/elles devront ce verbe (devoir) au futur simple.,B1
devoir,conditionnel present,je,devrais,je devrais ce verbe (devoir) au conditionnel present.,B1
devoir,conditionnel present,tu,devrais,tu devrais ce verbe (devoir) au conditionnel present.,B1
devoir,conditionnel present,il/elle,devrait,il/elle devrait ce verbe (devoir) au conditionnel present.,B1
devoir,conditionnel present,nous,devrions,nous devrions ce verbe (devoir) au conditionnel present.,B1
devoir,conditionnel present,vous,devriez,vous devriez ce verbe (devoir) au conditionnel present.,B1
devoir,conditionnel present,ils/elles,devraient,ils/elles devraient ce verbe (devoir) au conditionnel present.,B1
etre,subjonctif present,je,sois,je sois ce verbe (etre) au subjonctif present.,B2
etre,subjonctif present,tu,sois,tu sois ce verbe (etre) au subjonctif present.,B2
etre,subjonctif present,il/elle,soit,il/elle soit ce verbe (etre) au subjonctif present.,B2
etre,subjonctif present,nous,soyons,nous soyons ce verbe (etre) au subjonctif present.,B2
etre,subjonctif present,vous,soyez,vous soyez ce verbe (etre) au subjonctif present.,B2
etre,subjonctif present,ils/elles,soient,ils/elles soient ce verbe (etre) au subjonctif present.,B2
etre,passe compose,je,ai ete,je ai ete ce verbe (etre) au passe compose.,A2
etre,passe compose,tu,as ete,tu as ete ce verbe (etre) au passe compose.,A2
etre,passe compose,il/elle,a ete,il/elle a ete ce verbe (etre) au passe compose.,A2
etre,passe compose,nous,avons ete,nous avons ete ce verbe (etre) au passe compose.,A2
etre,passe compose,vous,avez ete,vous avez ete ce verbe (etre) au passe compose.,A2
etre,passe compose,ils/elles,ont ete,ils/elles ont ete ce verbe (etre) au passe compose.,A2
avoir,subjonctif present,je,aie,je aie ce verbe (avoir) au subjonctif present.,B2
avoir,subjonctif present,tu,aies,tu aies ce verbe (avoir) au subjonctif present.,B2
avoir,subjonctif present,il/elle,ait,il/elle ait ce verbe (avoir) au subjonctif present.,B2
avoir,subjonctif present,nous,ayons,nous ayons ce verbe (avoir) au subjonctif present.,B2
avoir,subjonctif present,vous,ayez,vous ayez ce verbe (avoir) au subjonctif present.,B2
avoir,subjonctif present,ils/elles,aient,ils/elles aient ce verbe (avoir) au subjonctif present.,B2
avoir,passe compose,je,ai eu,je ai eu ce verbe (avoir) au passe compose.,A2
avoir,passe compose,tu,as eu,tu as eu ce verbe (avoir) au passe compose.,A2
avoir,passe compose,il/elle,a eu,il/elle a eu ce verbe (avoir) au passe compose.,A2
avoir,passe compose,nous,avons eu,nous avons eu ce verbe (avoir) au passe compose.,A2
avoir,passe compose,vous,avez eu,vous avez eu ce verbe (avoir) au passe compose.,A2
avoir,passe compose,ils/elles,ont eu,ils/elles ont eu ce verbe (avoir) au passe compose.,A2
aller,subjonctif present,je,aille,je aille ce verbe (aller) au subjonctif present.,B2
aller,subjonctif present,tu,ailles,tu ailles ce verbe (aller) au subjonctif present.,B2
aller,subjonctif present,il/elle,aille,il/elle aille ce verbe (aller) au subjonctif present.,B2
aller,subjonctif present,nous,allions,nous allions ce verbe (aller) au subjonctif present.,B2
aller,subjonctif present,vous,alliez,vous alliez ce verbe (aller) au subjonctif present.,B2
aller,subjonctif present,ils/elles,aillent,ils/elles aillent ce verbe (aller) au subjonctif present.,B2
aller,passe compose,je,suis alle,je suis alle ce verbe (aller) au passe compose.,A2
aller,passe compose,tu,es alle,tu es alle ce verbe (aller) au passe compose.,A2
aller,passe compose,il/elle,est alle,il/elle est alle ce verbe (aller) au passe compose.,A2
aller,passe compose,nous,sommes alles,nous sommes alles ce verbe (aller) au passe compose.,A2
aller,passe compose,vous,etes alles,vous etes alles ce verbe (aller) au passe compose.,A2
aller,passe compose,ils/elles,sont alles,ils/elles sont alles ce verbe (aller) au passe compose.,A2
faire,subjonctif present,je,fasse,je fasse ce verbe (faire) au subjonctif present.,B2
faire,subjonctif present,tu,fasses,tu fasses ce verbe (faire) au subjonctif present.,B2
faire,subjonctif present,il/elle,fasse,il/elle fasse ce verbe (faire) au subjonctif present.,B2
faire,subjonctif present,nous,fassions,nous fassions ce verbe (faire) au subjonctif present.,B2
faire,subjonctif present,vous,fassiez,vous fassiez ce verbe (faire) au subjonctif present.,B2
faire,subjonctif present,ils/elles,fassent,ils/elles fassent ce verbe (faire) au subjonctif present.,B2
faire,passe compose,je,ai fait,je ai fait ce verbe (faire) au passe compose.,A2
faire,passe compose,tu,as fait,tu as fait ce verbe (faire) au passe compose.,A2
faire,passe compose,il/elle,a fait,il/elle a fait ce verbe (faire) au passe compose.,A2
faire,passe compose,nous,avons fait,nous avons fait ce verbe (faire) au passe compose.,A2
faire,passe compose,vous,avez fait,vous avez fait ce verbe (faire) au passe compose.,A2
faire,passe compose,ils/elles,ont fait,ils/elles ont fait ce verbe (faire) au passe compose.,A2
venir,subjonctif present,je,vienne,je vienne ce verbe (venir) au subjonctif present.,B2
venir,subjonctif present,tu,viennes,tu viennes ce verbe (venir) au subjonctif present.,B2
venir,subjonctif present,il/elle,vienne,il/elle vienne ce verbe (venir) au subjonctif present.,B2
venir,subjonctif present,nous,venions,nous venions ce verbe (venir) au subjonctif present.,B2
venir,subjonctif present,vous,veniez,vous veniez ce verbe (venir) au subjonctif present.,B2
venir,subjonctif present,ils/elles,viennent,ils/elles viennent ce verbe (venir) au subjonctif present.,B2
venir,passe compose,je,suis venu,je suis venu ce verbe (venir) au passe compose.,A2
venir,passe compose,tu,es venu,tu es venu ce verbe (venir) au passe compose.,A2
venir,passe compose,il/elle,est venu,il/elle est venu ce verbe (venir) au passe compose.,A2
venir,passe compose,nous,sommes venus,nous sommes venus ce verbe (venir) au passe compose.,A2
venir,passe compose,vous,etes venus,vous etes venus ce verbe (venir) au passe compose.,A2
venir,passe compose,ils/elles,sont venus,ils/elles sont venus ce verbe (venir) au passe compose.,A2
pouvoir,subjonctif present,je,puisse,je puisse ce verbe (pouvoir) au subjonctif present.,B2
pouvoir,subjonctif present,tu,puisses,tu puisses ce verbe (pouvoir) au subjonctif present.,B2
pouvoir,subjonctif present,il/elle,puisse,il/elle puisse ce verbe (pouvoir) au subjonctif present.,B2
pouvoir,subjonctif present,nous,puissions,nous puissions ce verbe (pouvoir) au subjonctif present.,B2
pouvoir,subjonctif present,vous,puissiez,vous puissiez ce verbe (pouvoir) au subjonctif present.,B2
pouvoir,subjonctif present,ils/elles,puissent,ils/elles puissent ce verbe (pouvoir) au subjonctif present.,B2
pouvoir,passe compose,je,ai pu,je ai pu ce verbe (pouvoir) au passe compose.,A2
pouvoir,passe compose,tu,as pu,tu as pu ce verbe (pouvoir) au passe compose.,A2
pouvoir,passe compose,il/elle,a pu,il/elle a pu ce verbe (pouvoir) au passe compose.,A2
pouvoir,passe compose,nous,avons pu,nous avons pu ce verbe (pouvoir) au passe compose.,A2
pouvoir,passe compose,vous,avez pu,vous avez pu ce verbe (pouvoir) au passe compose.,A2
pouvoir,passe compose,ils/elles,ont pu,ils/elles ont pu ce verbe (pouvoir) au passe compose.,A2
devoir,subjonctif present,je,doive,je doive ce verbe (devoir) au subjonctif present.,B2
devoir,subjonctif present,tu,doives,tu doives ce verbe (devoir) au subjonctif present.,B2
devoir,subjonctif present,il/elle,doive,il/elle doive ce verbe (devoir) au subjonctif present.,B2
devoir,subjonctif present,nous,devions,nous devions ce verbe (devoir) au subjonctif present.,B2
devoir,subjonctif present,vous,deviez,vous deviez ce verbe (devoir) au subjonctif present.,B2
devoir,subjonctif present,ils/elles,doivent,ils/elles doivent ce verbe (devoir) au subjonctif present.,B2
devoir,passe compose,je,ai du,je ai du ce verbe (devoir) au passe compose.,A2
devoir,passe compose,tu,as du,tu as du ce verbe (devoir) au passe compose.,A2
devoir,passe compose,il/elle,a du,il/elle a du ce verbe (devoir) au passe compose.,A2
devoir,passe compose,nous,avons du,nous avons du ce verbe (devoir) au passe compose.,A2
devoir,passe compose,vous,avez du,vous avez du ce verbe (devoir) au passe compose.,A2
devoir,passe compose,ils/elles,ont du,ils/elles ont du ce verbe (devoir) au passe compose.,A2
vouloir,present,je,veux,je veux ce verbe (vouloir) au present.,A2
vouloir,present,tu,veux,tu veux ce verbe (vouloir) au present.,A2
vouloir,present,il/elle,veut,il/elle veut ce verbe (vouloir) au present.,A2
vouloir,present,nous,voulons,nous voulons ce verbe (vouloir) au present.,A2
vouloir,present,vous,voulez,vous voulez ce verbe (vouloir) au present.,A2
vouloir,present,ils/elles,veulent,ils/elles veulent ce verbe (vouloir) au present.,A2
vouloir,imparfait,je,voulais,je voulais ce verbe (vouloir) au imparfait.,B1
vouloir,imparfait,tu,voulais,tu voulais ce verbe (vouloir) au imparfait.,B1
vouloir,imparfait,il/elle,voulait,il/elle voulait ce verbe (vouloir) au imparfait.,B1
vouloir,imparfait,nous,voulions,nous voulions ce verbe (vouloir) au imparfait.,B1
vouloir,imparfait,vous,vouliez,vous vouliez ce verbe (vouloir) au imparfait.,B1
vouloir,imparfait,ils/elles,voulaient,ils/elles voulaient ce verbe (vouloir) au imparfait.,B1
vouloir,futur simple,je,voudrai,je voudrai ce verbe (vouloir) au futur simple.,B1
vouloir,futur simple,tu,voudras,tu voudras ce verbe (vouloir) au futur simple.,B1
